popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1,0.979,0.211,300800,0.041,0.926,0.152,-22.749,0.0371,136.327,0.0378
0,0.987,0.723,191040,0.158,0.145,0.115,-16.343,0.0511,110.319,0.807
6,0.566,0.522,214596,0.392,5.03E-06,0.15,-9.537,0.069,114.95,0.36
65,0.083,0.724,246333,0.689,0,0.304,-5.922,0.135,146.496,0.693
63,0.323,0.685,186467,0.61,0,0.102,-5.221,0.0439,94.384,0.323
62,0.0675,0.762,199520,0.52,3.95E-06,0.114,-5.237,0.0959,75.047,0.0862
61,0.36,0.563,240597,0.366,0.00243,0.0955,-6.896,0.121,85.352,0.768
68,0.596,0.653,213947,0.621,0,0.0811,-5.721,0.0409,100.006,0.466
61,0.661,0.51,205640,0.331,0,0.123,-13.073,0.0895,124.657,0.225
64,0.667,0.67,239147,0.649,0.00013,0.109,-7.426,0.0875,147.935,0.618
66,0.975,0.377,334570,0.255,0.000208,0.102,-11.165,0.0387,125.004,0.37
60,0.72,0.523,170343,0.507,0,0.0774,-6.448,0.225,140.368,0.7
69,0.0359,0.761,219120,0.639,0,0.0945,-7.577,0.0539,164.088,0.922
71,0.735,0.501,257733,0.378,0,0.119,-9.37,0.029,119.987,0.178
69,0.241,0.639,234413,0.659,8.33E-06,0.484,-7.273,0.215,136.801,0.457
76,0.0233,0.845,187521,0.709,0,0.094,-4.547,0.0714,98.062,0.62
61,0.0808,0.584,203227,0.687,0,0.2,-7.176,0.321,129.902,0.324
66,0.288,0.741,319973,0.345,0,0.117,-11.31,0.0754,120.015,0.277
65,0.0174,0.751,264847,0.766,8.07E-06,0.658,-3.594,0.0515,109.897,0.673
61,0.184,0.791,171392,0.494,0.0182,0.482,-8.705,0.347,146.003,0.6
62,0.458,0.703,158947,0.586,0,0.154,-4.587,0.212,149.736,0.264
65,0.576,0.457,265883,0.337,9.27E-06,0.19,-10.825,0.166,66.933,0.184
65,0.775,0.759,216234,0.342,0,0.112,-9.044,0.0406,99.995,0.22
63,0.0759,0.546,234759,0.698,0.000131,0.0613,-4.678,0.0987,72.417,0.616
68,0.0306,0.69,226632,0.502,0,0.145,-7.077,0.0638,86.185,0.329
67,0.0703,0.733,209160,0.65,6.59E-05,0.0829,-3.539,0.0315,110.003,0.348
65,0.705,0.259,267200,0.536,0.000501,0.432,-10.309,0.0367,143.948,0.29
65,0.00616,0.752,176414,0.883,0.0998,0.167,-4.45,0.0426,122.026,0.509
70,0.41,0.721,213750,0.881,7.61E-06,0.292,-2.528,0.342,127.759,0.643
72,0.323,0.637,218947,0.73,0,0.0981,-5.38,0.0874,93.867,0.732
66,0.426,0.612,164453,0.548,0,0.502,-6.71,0.0351,84.991,0.617
68,0.0193,0.811,268533,0.458,1.41E-06,0.0526,-9.688,0.0402,92.94,0.797
67,0.0727,0.344,212880,0.537,0.000127,0.225,-8.215,0.079,82.878,0.453
64,0.107,0.577,192984,0.516,0,0.325,-7.616,0.259,118.364,0.343
68,0.46,0.513,186893,0.496,0,0.106,-6.049,0.0511,113.072,0.676
67,0.244,0.621,278515,0.777,0,0.449,-4.75,0.151,138.007,0.526
68,0.153,0.741,220964,0.58,0,0.109,-7.741,0.378,97.092,0.428
62,0.401,0.684,228966,0.512,0,0.1,-7.232,0.0401,127.908,0.354
62,0.552,0.735,232707,0.567,0,0.0659,-5.962,0.0635,149.968,0.574
57,0.0332,0.716,222004,0.597,0,0.163,-7.774,0.0547,140.03,0.306
63,0.591,0.502,212973,0.409,0,0.113,-7.581,0.0512,75.231,0.234
67,0.391,0.785,357357,0.379,0.0161,0.267,-11.446,0.0732,122.043,0.182
70,0.198,0.781,269493,0.745,1.14E-05,0.36,-5.81,0.0332,129.998,0.326
70,0.53,0.679,264200,0.44,5.15E-06,0.228,-9.313,0.351,109.959,0.0336
62,0.512,0.674,230625,0.616,2.10E-06,0.331,-3.471,0.0272,94.934,0.551
65,0.366,0.678,243133,0.414,3.78E-06,0.0885,-10.144,0.0498,130.031,0.355
64,0.203,0.666,243920,0.87,0,0.0851,-5.004,0.246,160.014,0.9
63,0.00548,0.784,118393,0.554,0.254,0.0995,-6.417,0.03,104.01,0.634
62,0.0729,0.605,208280,0.446,0,0.149,-8.244,0.028,94.044,0.685
59,0.0761,0.738,293345,0.519,0,0.092,-5.403,0.185,96.061,0.61
68,0.305,0.539,199627,0.886,0,0.0955,-4.332,0.493,109.016,0.562
67,0.682,0.671,197653,0.428,0.0002,0.121,-7.054,0.124,148.041,0.36
61,0.313,0.794,188987,0.448,0.0184,0.128,-7.401,0.148,149.975,0.429
57,0.0227,0.769,242250,0.558,0,0.0803,-6.526,0.344,179.993,0.771
61,0.0101,0.595,202943,0.695,0,0.157,-4.634,0.306,139.037,0.401
60,0.575,0.385,291098,0.473,2.88E-05,0.13,-8.656,0.0519,143.614,0.0575
64,0.0163,0.71,248467,0.578,0,0.246,-5.84,0.0604,125.969,0.512
67,0.64,0.536,211567,0.426,5.88E-06,0.147,-10.446,0.123,135.872,0.375
70,0.15,0.866,249800,0.749,0,0.0591,-3.977,0.253,92.077,0.891
60,0.865,0.535,205973,0.395,1.78E-05,0.0996,-11.887,0.0614,102.206,0.147
65,0.611,0.512,213253,0.598,0,0.0881,-4.959,0.115,70.189,0.345
62,0.447,0.789,181267,0.435,0,0.135,-7.042,0.0599,72.973,0.456
65,0.181,0.741,209423,0.726,0.000189,0.111,-3.77,0.143,163.991,0.527
67,0.0053,0.808,172427,0.581,1.19E-05,0.0828,-5.43,0.07,130.012,0.758
69,0.0253,0.598,202661,0.496,0.00132,0.12,-9.309,0.0804,128.06,0.725
71,0.0983,0.596,216689,0.557,0,0.0565,-7.522,0.134,133.247,0.661
68,0.0431,0.853,220173,0.663,8.65E-06,0.0891,-6.955,0.0755,113.999,0.864
66,0.0234,0.876,232000,0.71,0.000161,0.0573,-6.446,0.0446,121.072,0.828
70,0.023,0.689,210573,0.791,0,0.0526,-5.194,0.053,95.04,0.755
69,0.004,0.677,238920,0.671,5.07E-05,0.413,-4.905,0.0361,137.046,0.527
63,0.128,0.442,215747,0.83,0,0.129,-4.02,0.146,89.338,0.578
70,0.0104,0.549,227293,0.791,0,0.444,-3.535,0.133,150.094,0.293
66,0.0978,0.583,197720,0.435,0,0.0763,-6.389,0.0478,128.035,0.129
65,0.0895,0.488,221736,0.62,3.03E-05,0.122,-7.399,0.123,111.996,0.378
61,0.0523,0.849,237653,0.521,0,0.277,-6.386,0.0662,102.011,0.613
67,0.215,0.684,216893,0.455,1.08E-06,0.263,-8.216,0.0307,97.956,0.487
70,0.31,0.596,232573,0.661,0,0.0847,-6.239,0.226,129.491,0.86
56,0.0236,0.705,273810,0.584,0,0.176,-6.397,0.396,71.666,0.35
62,0.619,0.733,212670,0.508,0.00452,0.0491,-7.962,0.461,104.62,0.867
67,0.0167,0.656,268947,0.564,1.39E-06,0.165,-8.925,0.0883,150.014,0.25
61,0.261,0.749,302001,0.399,0.0126,0.0949,-7.526,0.0393,89.972,0.816
28,0.779,0.78,216507,0.355,0,0.151,-7.982,0.072,99.827,0.326
67,0.104,0.691,226963,0.75,0,0.123,-3.934,0.347,143.744,0.345
63,0.465,0.759,201334,0.404,0.00131,0.0841,-11.802,0.0491,77.984,0.581
63,0.121,0.803,171968,0.485,0,0.092,-6.491,0.0365,127.01,0.422
31,0.019,0.514,176553,0.291,0,0.123,-12.078,0.394,81.733,0.265
66,0.571,0.717,187537,0.599,8.99E-06,0.102,-6.156,0.115,159.78,0.385
61,0.852,0.362,215160,0.443,0.000132,0.138,-6.351,0.0663,54.924,0.415
62,0.0353,0.835,174093,0.511,1.19E-06,0.11,-4.431,0.0719,136.021,0.0792
63,0.00888,0.858,216520,0.398,0,0.112,-11.306,0.0598,97.476,0.258
65,0.723,0.557,197600,0.278,2.24E-05,0.0755,-12.353,0.0427,147.681,0.335
65,0.261,0.889,187061,0.451,0,0.0465,-7.77,0.0662,104.043,0.635
61,0.362,0.705,213293,0.513,0.0559,0.08,-7.054,0.2,168.056,0.649
74,0.00778,0.576,224031,0.782,0,0.285,-4.825,0.0296,141.153,0.355
66,0.308,0.665,212147,0.787,0,0.219,-5.73,0.151,167.349,0.699
64,0.558,0.737,177063,0.429,0,0.142,-8.261,0.0665,105.059,0.44
61,0.672,0.63,272143,0.501,0.00131,0.237,-8.714,0.0394,111.932,0.192
60,0.092,0.912,233680,0.533,1.48E-06,0.174,-5.587,0.0618,119.922,0.208
63,0.0379,0.663,186307,0.693,0,0.162,-5.776,0.0635,120.026,0.391
55,0.0076,0.647,157390,0.484,0,0.438,-10.316,0.301,85.366,0.154
64,0.38,0.655,181144,0.597,0,0.11,-7.269,0.0912,110.01,0.219
64,0.0658,0.805,196133,0.702,0,0.123,-4.877,0.0887,120.041,0.225
